Question Number,Question,Answer,Category,Difficulty
204,What is the difference between pass-by-value and pass-by-reference?,"Pass-by-value copies the argument's value into the function, while pass-by-reference passes the memory address, letting the function modify the original variable.",General Programming,Medium
205,What is garbage collection?,"Garbage collection automatically frees memory occupied by objects no longer referenced by the program, reducing memory leaks.",General Programming,Medium
206,What is the difference between static and dynamic typing?,"Static typing checks variable types at compile time, catching type errors early; dynamic typing checks types at runtime, offering more flexibility but less early error detection.",General Programming,Hard
207,Explain the concept of immutability and why it matters.,"Immutable objects cannot be changed after creation, which simplifies reasoning about state, supports thread safety, and prevents unintended side effects.",General Programming,Hard
208,What is the difference between composition and inheritance?,"Composition builds objects by combining other objects to reuse behavior, while inheritance creates a parent-child class relationship; composition is often favored for flexibility.",General Programming,Medium
209,What is a stack and where is it used?,"A stack is a LIFO data structure used for function call management, undo operations, and expression evaluation.",Data Structures,Easy
210,What is a queue and where is it used?,"A queue is a FIFO data structure used for task scheduling, buffering, and breadth-first traversal.",Data Structures,Easy
211,"What is the difference between an array and a dynamic array (e.g., ArrayList)?","Arrays have a fixed size set at creation, while dynamic arrays automatically resize as elements are added, though resizing has amortized cost.",Data Structures,Medium
212,Explain how a trie works and its use cases.,"A trie is a tree structure that stores strings character by character along paths, enabling fast prefix searches such as autocomplete.",Data Structures,Medium
213,What is a heap and how is it used to implement a priority queue?,"A heap is a tree-based structure satisfying the heap property (min or max), allowing efficient retrieval of the smallest or largest element for priority queues.",Data Structures,Medium
214,What is the difference between a balanced and unbalanced binary search tree?,"A balanced BST keeps height roughly logarithmic through rotations or rules, ensuring O(log n) operations, while an unbalanced tree can degrade to O(n) in the worst case.",Data Structures,Hard
215,Explain the concept of amortized time complexity.,"Amortized complexity averages the cost of an operation over a sequence of operations, showing that occasional expensive operations are offset by many cheap ones, as in dynamic array resizing.",Data Structures,Hard
216,What is a graph and what are common ways to represent it?,"A graph is a set of nodes connected by edges, commonly represented using an adjacency matrix or adjacency list depending on density and use case.",Data Structures,Medium
217,What is a variable scope in JavaScript?,"Scope determines where a variable is accessible, with JavaScript having global, function, and block scope (via let/const).",Languages and Frameworks,Easy
218,"What is the difference between let, const, and var in JavaScript?","var is function-scoped and hoisted, let and const are block-scoped, and const additionally prevents reassignment.",Languages and Frameworks,Medium
219,Explain the concept of generics in Java or C#.,"Generics allow classes and methods to operate on types specified as parameters, enabling type-safe and reusable code without casting.",Languages and Frameworks,Medium
220,What is dependency injection?,"Dependency injection is a design pattern where an object's dependencies are provided externally rather than created internally, improving testability and decoupling.",Languages and Frameworks,Medium
221,Explain the difference between synchronous and asynchronous programming.,"Synchronous code executes sequentially, blocking until each operation finishes, while asynchronous code allows other operations to proceed while waiting, often using callbacks, promises, or async/await.",Languages and Frameworks,Hard
222,What is the Python Global Interpreter Lock (GIL)?,"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in CPU-bound multi-threaded programs.",Languages and Frameworks,Hard
223,What is duck typing?,Duck typing determines an object's suitability by the presence of certain methods and properties rather than its explicit type.,Languages and Frameworks,Medium
224,What is a primary key?,A primary key uniquely identifies each record in a table and cannot contain null values.,Database and SQL,Easy
225,What does the SELECT statement do in SQL?,SELECT retrieves data from one or more tables based on specified columns and conditions.,Database and SQL,Easy
226,What is the difference between UNION and UNION ALL?,"UNION combines result sets and removes duplicates, while UNION ALL combines them without removing duplicates, making it faster.",Database and SQL,Medium
227,Explain the purpose of the GROUP BY clause.,"GROUP BY aggregates rows sharing common values into summary rows, often used with aggregate functions like COUNT or SUM.",Database and SQL,Medium
228,What is a database transaction isolation level?,"Isolation levels (e.g., Read Uncommitted, Read Committed, Repeatable Read, Serializable) define how much a transaction is affected by concurrent transactions, trading consistency for performance.",Database and SQL,Hard
229,What is a deadlock in a database and how can it be resolved?,"A deadlock occurs when two or more transactions block each other by holding locks the other needs; it's resolved by detection and rolling back one transaction, or prevented through lock ordering.",Database and SQL,Hard
230,What is a composite key?,A composite key is a primary key made up of two or more columns that together uniquely identify a row.,Database and SQL,Medium
231,What is HTML used for?,HTML defines the structure and content of a web page using elements and tags.,Web Development,Easy
232,What is the difference between client-side and server-side rendering?,"Client-side rendering builds the page in the browser using JavaScript, while server-side rendering generates the full HTML on the server before sending it to the browser.",Web Development,Easy
233,What is a single-page application (SPA)?,"An SPA loads a single HTML page and dynamically updates content via JavaScript without full page reloads, improving perceived performance.",Web Development,Medium
234,What is WebSocket and how does it differ from HTTP?,"WebSocket provides a persistent, full-duplex connection for real-time communication, unlike HTTP's request-response model which requires a new connection per exchange.",Web Development,Medium
235,Explain the concept of server-side rendering versus static site generation.,"SSR generates HTML per request on the server, while static site generation pre-builds HTML at build time, trading freshness for performance.",Web Development,Hard
236,What is CSRF and how can it be prevented?,"CSRF tricks a user's browser into making unwanted requests to a site where they're authenticated; it's prevented using anti-CSRF tokens, same-site cookies, and origin checks.",Web Development,Hard
237,What is the purpose of a content delivery network (CDN)?,A CDN distributes cached content across geographically dispersed servers to reduce latency and improve load times for users.,Web Development,Medium
238,What is unit testing?,Unit testing verifies that individual components or functions of code work correctly in isolation.,Software Testing,Easy
239,What is the difference between manual and automated testing?,"Manual testing is performed by a person executing test cases by hand, while automated testing uses scripts and tools to execute tests repeatedly.",Software Testing,Easy
240,What is the difference between black-box and white-box testing?,"Black-box testing evaluates functionality without knowledge of internal code, while white-box testing examines internal logic and structure.",Software Testing,Medium
241,What is mocking in unit testing?,"Mocking creates simulated objects that mimic the behavior of real dependencies, isolating the unit under test.",Software Testing,Medium
242,Explain the concept of test-driven development (TDD).,"TDD is a development approach where tests are written before the code, following a red-green-refactor cycle to guide implementation.",Software Testing,Hard
243,What is code coverage and why is it useful?,"Code coverage measures the percentage of code executed by tests, helping identify untested areas, though high coverage doesn't guarantee correctness.",Software Testing,Medium
244,What is version control and why is it used?,"Version control tracks changes to files over time, enabling collaboration, history tracking, and the ability to revert to previous states.",Version Control,Easy
245,What is the difference between git clone and git fork?,"git clone copies a repository locally, while forking creates a personal copy of a repository on the hosting platform under your account.",Version Control,Easy
246,What is the difference between git merge and git rebase?,"Merge combines branches by creating a new commit preserving history, while rebase replays commits onto another branch, creating a linear history.",Version Control,Medium
247,What is a merge conflict and how is it resolved?,A merge conflict occurs when changes from different branches overlap; it's resolved by manually editing the conflicting sections and committing the resolution.,Version Control,Medium
248,What is git cherry-pick used for?,git cherry-pick applies a specific commit from one branch onto another without merging the entire branch.,Version Control,Hard
249,Explain the difference between git reset and git revert.,"git reset moves the branch pointer and can alter history, while git revert creates a new commit that undoes changes, preserving history.",Version Control,Hard
250,What is horizontal scaling versus vertical scaling?,"Horizontal scaling adds more machines to handle load, while vertical scaling increases the resources of an existing machine.",System Design,Easy
251,What is a load balancer and why is it used?,"A load balancer distributes incoming traffic across multiple servers to improve availability, reliability, and performance.",System Design,Medium
252,What is caching and why is it important in system design?,Caching stores frequently accessed data in fast storage to reduce latency and load on the primary data source.,System Design,Medium
253,What is the CAP theorem?,"The CAP theorem states a distributed system can only guarantee two of three properties at once: Consistency, Availability, and Partition tolerance.",System Design,Medium
254,What is database sharding?,"Sharding splits a large database into smaller, independent pieces distributed across multiple servers to improve scalability.",System Design,Hard
255,Explain the concept of eventual consistency.,"Eventual consistency guarantees that, given enough time without new updates, all replicas of data will converge to the same value.",System Design,Hard
256,What is a message queue and why is it used in system design?,"A message queue enables asynchronous communication between services by buffering messages, decoupling producers and consumers, and improving reliability.",System Design,Hard
257,What is the difference between a monolithic and microservices architecture?,"A monolithic architecture bundles all functionality into a single deployable unit, while microservices split functionality into independently deployable services.",System Design,Medium
258,What is a firewall?,A firewall monitors and controls incoming and outgoing network traffic based on predefined security rules.,Security,Easy
259,What is the difference between authentication and authorization?,"Authentication verifies a user's identity, while authorization determines what actions or resources that user is permitted to access.",Security,Easy
260,What is SQL injection and how can it be prevented?,SQL injection exploits unsanitized input to execute malicious SQL commands; it's prevented using parameterized queries and input validation.,Security,Medium
261,What is cross-site scripting (XSS)?,"XSS is an attack where malicious scripts are injected into web pages viewed by other users, prevented through input sanitization and output encoding.",Security,Medium
262,What is the difference between symmetric and asymmetric encryption?,"Symmetric encryption uses one shared key for encryption and decryption, while asymmetric encryption uses a public-private key pair.",Security,Hard
263,What is a man-in-the-middle attack?,"A man-in-the-middle attack intercepts communication between two parties without their knowledge, potentially altering or stealing data, mitigated by encryption like TLS.",Security,Hard
264,What is the principle of least privilege?,"The principle of least privilege states that users and systems should only have the minimum access necessary to perform their functions, reducing attack surface.",Security,Hard
265,What is continuous integration (CI)?,CI is the practice of automatically building and testing code changes frequently to detect issues early.,DevOps,Easy
266,What is a container and how does it differ from a virtual machine?,"A container packages an application with its dependencies and shares the host OS kernel, while a VM includes a full guest OS, making containers lighter and faster to start.",DevOps,Easy
267,What is continuous deployment (CD) and how does it differ from continuous delivery?,"Continuous deployment automatically releases every passing change to production, while continuous delivery keeps changes deployable but requires manual approval for release.",DevOps,Medium
268,What is the purpose of a container orchestration tool like Kubernetes?,"Kubernetes automates deployment, scaling, and management of containerized applications across clusters of machines.",DevOps,Hard
269,What is a blue-green deployment strategy?,"Blue-green deployment runs two identical environments, routing traffic to the new version only after it's verified, allowing quick rollback if issues occur.",DevOps,Hard
270,What is the purpose of monitoring and logging in production systems?,"Monitoring and logging provide visibility into system health and behavior, enabling faster detection and diagnosis of issues.",DevOps,Medium
271,What is a canary release?,"A canary release rolls out a new version to a small subset of users first, monitoring for issues before a full rollout.",DevOps,Hard
272,"What is the difference between HTML, CSS, and JavaScript?","HTML structures content, CSS styles presentation, and JavaScript adds interactivity and behavior to a web page.",Front-end,Easy
273,What is the CSS box model?,"The box model describes an element's layout as content, padding, border, and margin, determining its total rendered size.",Front-end,Easy
274,What is the virtual DOM and why do frameworks like React use it?,"The virtual DOM is an in-memory representation of the real DOM that allows efficient diffing and minimal updates, improving rendering performance.",Front-end,Medium
275,What is the difference between flexbox and grid in CSS?,"Flexbox arranges items along a single axis for one-dimensional layouts, while grid handles two-dimensional layouts with rows and columns.",Front-end,Medium
276,What is component lifecycle in React?,"The lifecycle refers to the phases a component goes through, mounting, updating, and unmounting, each offering hooks or methods to run code at specific points.",Front-end,Hard
277,What is code splitting and why is it useful?,"Code splitting breaks a bundle into smaller chunks loaded on demand, reducing initial load time and improving performance.",Front-end,Hard
278,What are React hooks?,Hooks are functions like useState and useEffect that let functional components manage state and side effects without writing class components.,Front-end,Medium
279,What is an API?,An API is a set of rules and protocols that allows different software applications to communicate with each other.,Back-end,Easy
280,What is middleware in a back-end framework?,"Middleware is code that runs between receiving a request and sending a response, often used for logging, authentication, or parsing.",Back-end,Easy
281,What is the difference between synchronous and asynchronous request handling in servers?,"Synchronous handling processes one request at a time per thread, while asynchronous handling allows a server to manage many requests concurrently without blocking.",Back-end,Medium
282,What is rate limiting and why is it used?,"Rate limiting restricts the number of requests a client can make in a given time period, protecting APIs from abuse and overload.",Back-end,Medium
283,What is the difference between horizontal and vertical partitioning of a database?,"Horizontal partitioning splits rows across tables or servers, while vertical partitioning splits columns into separate tables.",Back-end,Hard
284,What is idempotency in the context of API design?,"An idempotent operation produces the same result no matter how many times it's performed, important for safe retries in APIs like PUT or DELETE.",Back-end,Hard
285,What is connection pooling?,"Connection pooling reuses a set of established database connections rather than opening a new one for every request, improving performance.",Back-end,Medium
286,"What does ""full-stack"" mean in software development?",A full-stack developer works across both front-end (client-side) and back-end (server-side) portions of an application.,Full-stack,Easy
287,What is the typical data flow in a full-stack web application?,"A client sends a request to the server, which processes it, interacts with a database if needed, and returns a response rendered by the client.",Full-stack,Medium
288,What is an environment variable and why is it used in full-stack apps?,"Environment variables store configuration values like API keys or database URLs outside the codebase, keeping sensitive data secure and configurable per environment.",Full-stack,Medium
289,How would you structure authentication across a full-stack application?,"Typically the back-end issues a token (e.g., JWT) after verifying credentials, the client stores it securely, and subsequent requests include it for server-side verification.",Full-stack,Hard
290,What is API versioning and why is it important in full-stack development?,"API versioning allows changes to an API without breaking existing clients, commonly implemented via URL paths or headers.",Full-stack,Hard
291,What is the role of a reverse proxy in a full-stack deployment?,"A reverse proxy sits in front of servers, routing requests, handling SSL termination, load balancing, and caching.",Full-stack,Medium
292,What is the difference between linear search and binary search?,"Linear search checks each element sequentially with O(n) time, while binary search repeatedly halves a sorted array's search space for O(log n) time.",Algorithms,Easy
293,What is a greedy algorithm?,"A greedy algorithm makes the locally optimal choice at each step, hoping to find a global optimum, though it doesn't always succeed.",Algorithms,Easy
294,What is the difference between depth-first search and breadth-first search?,"DFS explores as far as possible along a branch before backtracking, while BFS explores all neighbors at the current depth before going deeper.",Algorithms,Medium
295,Explain the divide-and-conquer strategy.,"Divide-and-conquer breaks a problem into smaller subproblems, solves them recursively, and combines their results, as in merge sort.",Algorithms,Medium
296,What is the time complexity of quicksort in the average and worst case?,"Quicksort averages O(n log n), but degrades to O(n^2) in the worst case when the pivot repeatedly splits the array unevenly.",Algorithms,Hard
297,Explain the concept of backtracking with an example.,"Backtracking incrementally builds candidates for a solution and abandons a candidate as soon as it determines it can't lead to a valid solution, as in solving Sudoku.",Algorithms,Hard
298,What is memoization and how does it relate to dynamic programming?,"Memoization caches results of expensive function calls to avoid redundant computation, a common technique used to implement dynamic programming solutions.",Algorithms,Medium
299,What is the difference between NP and NP-complete problems?,"NP problems have solutions verifiable in polynomial time, while NP-complete problems are the hardest problems in NP, to which all other NP problems can be reduced.",Algorithms,Hard
300,What is machine learning?,Machine learning is a field of AI where systems learn patterns from data to make predictions or decisions without being explicitly programmed.,Machine Learning,Easy
301,What is the difference between supervised and unsupervised learning?,"Supervised learning trains on labeled data to predict outcomes, while unsupervised learning finds patterns or structure in unlabeled data.",Machine Learning,Easy
302,What is overfitting in machine learning?,"Overfitting occurs when a model learns noise and details specific to training data, performing poorly on new, unseen data.",Machine Learning,Medium
303,What is the difference between classification and regression?,"Classification predicts discrete categories, while regression predicts continuous numerical values.",Machine Learning,Medium
304,What is a confusion matrix used for?,A confusion matrix summarizes a classification model's performance by comparing predicted and actual labels across true and false positives and negatives.,Machine Learning,Medium
305,What is the bias-variance tradeoff?,The bias-variance tradeoff describes the balance between a model's error from overly simplistic assumptions (bias) and its sensitivity to training data fluctuations (variance).,Machine Learning,Hard
306,What is gradient descent?,Gradient descent is an optimization algorithm that iteratively adjusts model parameters in the direction that minimizes a loss function.,Machine Learning,Hard
307,What is regularization and why is it used?,"Regularization adds a penalty term to a model's loss function to discourage overly complex models, reducing overfitting.",Machine Learning,Hard
308,What is cross-validation?,"Cross-validation splits data into multiple folds to train and test a model repeatedly, providing a more reliable estimate of its performance.",Machine Learning,Medium
309,What is the difference between bagging and boosting?,"Bagging trains multiple models in parallel on random data subsets and averages results to reduce variance, while boosting trains models sequentially, each correcting the errors of the previous one.",Machine Learning,Hard
310,What is a distributed system?,"A distributed system is a collection of independent computers that appear to users as a single coherent system, working together over a network.",Distributed Systems,Easy
311,What is the difference between strong consistency and eventual consistency?,"Strong consistency guarantees all reads reflect the latest write immediately, while eventual consistency allows temporary staleness until replicas converge.",Distributed Systems,Medium
312,"What is a distributed consensus algorithm, and why is it needed?","Consensus algorithms like Paxos or Raft allow distributed nodes to agree on a single value or state despite failures, crucial for coordination.",Distributed Systems,Medium
313,What is the difference between a leader-follower and a peer-to-peer distributed architecture?,"Leader-follower designates one node to coordinate writes and propagate changes, while peer-to-peer treats all nodes as equals without central coordination.",Distributed Systems,Hard
314,What is a split-brain scenario in distributed systems?,"Split-brain occurs when a network partition causes separate parts of a cluster to independently believe they are the sole active leader, risking data conflicts.",Distributed Systems,Hard
315,What is the purpose of a heartbeat mechanism in distributed systems?,"Heartbeats are periodic signals nodes send to confirm they're alive, used to detect failures and trigger failover.",Distributed Systems,Medium
316,What is the difference between two-phase commit and three-phase commit protocols?,"Two-phase commit coordinates a distributed transaction in prepare and commit phases but can block on failures, while three-phase commit adds a pre-commit phase to reduce blocking risk.",Distributed Systems,Hard
317,What is replication in distributed systems and why is it used?,"Replication copies data across multiple nodes to improve availability, fault tolerance, and read performance.",Distributed Systems,Medium
318,What is an IP address?,"An IP address is a unique numerical identifier assigned to each device on a network, used for routing data.",Networking,Easy
319,What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees reliable, ordered delivery, while UDP is connectionless and faster but doesn't guarantee delivery or order.",Networking,Easy
320,What is DNS and how does it work?,DNS translates human-readable domain names into IP addresses through a hierarchical system of servers.,Networking,Medium
321,What is the OSI model?,"The OSI model is a conceptual framework dividing network communication into seven layers, from physical transmission to application-level protocols.",Networking,Medium
322,What is the three-way handshake in TCP?,"The three-way handshake establishes a TCP connection through SYN, SYN-ACK, and ACK messages exchanged between client and server.",Networking,Hard
323,What is a subnet and why is subnetting used?,"A subnet is a logical subdivision of a network, used to improve organization, security, and efficient use of IP address space.",Networking,Hard
324,What is NAT (Network Address Translation)?,"NAT maps private IP addresses to a public IP address, allowing multiple devices to share a single external address.",Networking,Medium
325,What is the difference between a forward proxy and a reverse proxy?,"A forward proxy sits in front of clients, forwarding their requests to the internet, while a reverse proxy sits in front of servers, handling incoming client requests.",Networking,Hard
326,What is the difference between a process and a thread?,"A process is an independent execution unit with its own memory space, while a thread is a lightweight unit of execution within a process, sharing its memory.",Low-level Systems,Easy
327,What is a race condition?,"A race condition occurs when multiple threads access shared data concurrently and the outcome depends on the timing of their execution, potentially causing bugs.",Low-level Systems,Medium
328,What is a mutex and why is it used?,"A mutex is a locking mechanism that ensures only one thread can access a critical section of code at a time, preventing race conditions.",Low-level Systems,Medium
329,What is the difference between paging and segmentation in memory management?,"Paging divides memory into fixed-size blocks, while segmentation divides it into variable-sized logical units based on program structure.",Low-level Systems,Hard
330,What is a deadlock and what conditions cause it?,"A deadlock occurs when processes wait indefinitely for resources held by each other, caused by mutual exclusion, hold and wait, no preemption, and circular wait.",Low-level Systems,Hard
331,What is the difference between a system call and a library call?,"A system call requests a service from the operating system kernel, while a library call executes code within the application's own address space.",Low-level Systems,Medium
332,What is virtual memory?,"Virtual memory abstracts physical memory, giving each process the illusion of a large, contiguous address space while the OS manages mapping to physical RAM and disk.",Low-level Systems,Hard
333,What is context switching?,"Context switching is the process of storing the state of a running process or thread and loading another, enabling multitasking on a CPU.",Low-level Systems,Medium
334,What is a relational database?,"A relational database organizes data into tables with rows and columns, linked by relationships defined through keys.",Database Systems,Easy
335,What is database replication?,Database replication copies data from one database server to others to improve availability and read scalability.,Database Systems,Medium
336,What is the difference between OLTP and OLAP systems?,"OLTP systems handle real-time transactional operations, while OLAP systems are optimized for complex analytical queries over large datasets.",Database Systems,Medium
337,What is a write-ahead log (WAL) used for?,"A write-ahead log records changes before they're applied to the database, ensuring durability and enabling recovery after a crash.",Database Systems,Hard
338,What is the difference between optimistic and pessimistic locking?,"Optimistic locking allows concurrent access and checks for conflicts before committing, while pessimistic locking locks data upfront to prevent conflicts.",Database Systems,Hard
339,What is a materialized view?,"A materialized view stores the precomputed result of a query physically, improving read performance at the cost of needing periodic refreshes.",Database Systems,Medium
340,"What is database partitioning, and how does it differ from sharding?","Partitioning divides a table into segments within the same database instance, while sharding distributes data across separate database instances or servers.",Database Systems,Hard
341,What is connection pooling in the context of databases?,"Connection pooling maintains a reusable pool of database connections, reducing the overhead of repeatedly opening and closing connections.",Database Systems,Medium
342,What is ETL?,"ETL stands for Extract, Transform, Load, describing the process of extracting data from sources, transforming it, and loading it into a target system.",Data Engineering,Easy
343,What is the difference between a data warehouse and a data lake?,"A data warehouse stores structured, processed data optimized for analysis, while a data lake stores raw data in its native format at scale.",Data Engineering,Medium
344,What is data partitioning in the context of big data processing?,"Data partitioning splits large datasets into smaller chunks distributed across nodes, enabling parallel processing and improved performance.",Data Engineering,Medium
345,What is the difference between batch processing and stream processing?,"Batch processing handles large volumes of data at scheduled intervals, while stream processing handles data continuously in near real-time as it arrives.",Data Engineering,Hard
346,What is a data pipeline and what are its key components?,"A data pipeline automates the movement and transformation of data from source to destination, typically including ingestion, processing, storage, and orchestration stages.",Data Engineering,Hard
347,What is schema-on-read versus schema-on-write?,"Schema-on-write enforces structure when data is stored, while schema-on-read applies structure only when data is queried, offering more flexibility.",Data Engineering,Medium
348,"What is data skew in distributed data processing, and why is it a problem?","Data skew occurs when data is unevenly distributed across partitions, causing some nodes to do disproportionately more work and slowing overall processing.",Data Engineering,Hard
349,What is the purpose of a workflow orchestration tool like Airflow?,"Orchestration tools schedule, monitor, and manage dependencies between tasks in a data pipeline, ensuring they run in the correct order and handling failures.",Data Engineering,Medium
350,"What is the difference between AI, machine learning, and deep learning?","AI is the broad field of creating intelligent systems, machine learning is a subset that learns from data, and deep learning is a subset of ML using multi-layered neural networks.",Artificial Intelligence,Easy
351,What is a neural network?,"A neural network is a computational model inspired by the brain, consisting of layers of interconnected nodes that learn patterns from data.",Artificial Intelligence,Medium
352,What is natural language processing (NLP)?,"NLP is a field of AI focused on enabling computers to understand, interpret, and generate human language.",Artificial Intelligence,Medium
353,What is the difference between a rule-based system and a machine learning system?,"Rule-based systems follow explicitly programmed logic, while machine learning systems learn patterns and rules automatically from data.",Artificial Intelligence,Hard
354,"What is an activation function in a neural network, and why is it needed?","An activation function introduces non-linearity into a neural network, allowing it to learn complex patterns beyond simple linear relationships.",Artificial Intelligence,Hard
355,What is reinforcement learning?,Reinforcement learning trains an agent to make decisions by rewarding desired behaviors and penalizing undesired ones through trial-and-error interaction with an environment.,Artificial Intelligence,Medium
356,What is the vanishing gradient problem?,"The vanishing gradient problem occurs when gradients become very small during backpropagation in deep networks, slowing or halting learning in earlier layers.",Artificial Intelligence,Hard
357,What is transfer learning?,"Transfer learning reuses a model trained on one task as the starting point for a related task, reducing training time and data requirements.",Artificial Intelligence,Medium
358,What is a function in programming?,A function is a reusable block of code that performs a specific task and can accept inputs and return outputs.,General Programming,Easy
359,What is the difference between a class and an object?,"A class is a blueprint defining properties and behaviors, while an object is an instance created from that class.",General Programming,Easy
360,What is an infinite loop?,"An infinite loop is a loop that never terminates because its exit condition is never met, often causing a program to hang.",General Programming,Easy
361,What is the difference between an interface and an abstract class in most OOP languages?,"An interface declares method signatures without implementation and supports multiple inheritance, while an abstract class can include both implemented and abstract methods but supports single inheritance in many languages.",General Programming,Medium
362,What is exception handling and why is it important?,"Exception handling manages runtime errors gracefully using constructs like try/catch, preventing program crashes and allowing recovery.",General Programming,Medium
363,What is an array?,"An array is a collection of elements stored in contiguous memory, accessed by index.",Data Structures,Easy
364,What is a linked list node made of?,A linked list node contains a data field and a pointer or reference to the next node in the sequence.,Data Structures,Easy
365,What is a doubly linked list?,"A doubly linked list has nodes with pointers to both the next and previous nodes, allowing traversal in both directions.",Data Structures,Medium
366,What is the difference between a min-heap and a max-heap?,"A min-heap keeps the smallest element at the root, while a max-heap keeps the largest element at the root.",Data Structures,Medium
367,"What is a self-balancing tree, and name an example?",A self-balancing tree automatically maintains a balanced height after insertions and deletions; examples include AVL trees and Red-Black trees.,Data Structures,Hard
368,What is a compiler?,A compiler translates source code written in a high-level language into machine code or bytecode before execution.,Languages and Frameworks,Easy
369,What is an interpreter?,"An interpreter executes source code directly, line by line, without producing a separate compiled executable.",Languages and Frameworks,Easy
370,What is the difference between an interface and a protocol in Swift or similar languages?,"They serve the same purpose, defining a contract of methods and properties a conforming type must implement, though naming differs by language.",Languages and Frameworks,Medium
371,What is a lambda expression?,"A lambda expression is an anonymous, inline function often used for short, throwaway operations like callbacks or functional-style processing.",Languages and Frameworks,Medium
372,What is the difference between deep copy and shallow copy?,"A shallow copy duplicates only the top-level structure, sharing references to nested objects, while a deep copy recursively duplicates all nested objects as well.",Languages and Frameworks,Hard
373,What is a table in a relational database?,"A table organizes data into rows and columns, with each row representing a record and each column representing an attribute.",Database and SQL,Easy
374,What does the WHERE clause do in SQL?,The WHERE clause filters rows returned by a query based on specified conditions.,Database and SQL,Easy
375,What is a view in SQL?,"A view is a virtual table defined by a stored query, providing a simplified or restricted way to access underlying data.",Database and SQL,Medium
376,What is the difference between DELETE and TRUNCATE in SQL?,"DELETE removes rows individually and can be rolled back, while TRUNCATE removes all rows at once and is generally faster but not always reversible.",Database and SQL,Medium
377,What is a self-join and when would you use one?,"A self-join joins a table to itself, useful for comparing rows within the same table, such as finding employees who share a manager.",Database and SQL,Hard
378,What is a URL?,"A URL is the address used to locate a resource on the internet, specifying protocol, domain, and path.",Web Development,Easy
379,What is the purpose of CSS?,"CSS controls the visual presentation of HTML elements, including layout, colors, and fonts.",Web Development,Easy
380,What is local storage versus session storage in the browser?,"Local storage persists data with no expiration until cleared, while session storage persists only for the duration of the page session.",Web Development,Medium
381,What is AJAX?,AJAX allows a web page to send and receive data from a server asynchronously without reloading the entire page.,Web Development,Medium
382,What is the same-origin policy?,"The same-origin policy restricts how documents or scripts from one origin can interact with resources from another origin, protecting against malicious cross-site interactions.",Web Development,Hard
383,What is a test case?,A test case is a set of conditions and inputs used to verify that a specific feature or function behaves as expected.,Software Testing,Easy
384,What is integration testing?,Integration testing verifies that different modules or services work correctly together after being combined.,Software Testing,Easy
385,What is the difference between smoke testing and sanity testing?,"Smoke testing checks that the most critical functions work after a build, while sanity testing verifies specific functionality after minor changes or bug fixes.",Software Testing,Medium
386,What is a test plan?,"A test plan is a document outlining the scope, approach, resources, and schedule for testing activities.",Software Testing,Medium
387,What is behavior-driven development (BDD)?,"BDD extends TDD by writing test scenarios in natural language that describe expected behavior, improving collaboration between technical and non-technical stakeholders.",Software Testing,Hard
388,What is a git commit?,"A git commit is a saved snapshot of changes to the repository at a specific point in time, along with a descriptive message.",Version Control,Easy
389,What is a branch in git?,A branch is an independent line of development that allows changes to be made without affecting the main codebase.,Version Control,Easy
390,What is the purpose of a .gitignore file?,"A .gitignore file specifies files and directories that git should not track, such as build artifacts or secrets.",Version Control,Medium
391,What is a pull request?,"A pull request proposes changes from one branch to be reviewed and merged into another, often triggering code review and CI checks.",Version Control,Medium
392,What is git bisect used for?,git bisect performs a binary search through commit history to identify the specific commit that introduced a bug.,Version Control,Hard
393,What is an API gateway?,"An API gateway is a single entry point that routes client requests to appropriate backend services, often handling authentication and rate limiting.",System Design,Easy
394,What is the difference between vertical and horizontal partitioning in system design?,"Vertical partitioning separates data by feature or column into different stores, while horizontal partitioning splits rows of the same data across multiple stores.",System Design,Medium
395,What is a rate limiter and how might it be implemented?,"A rate limiter controls the number of requests a client can make in a time window, often implemented using algorithms like token bucket or sliding window.",System Design,Hard
396,What is the difference between synchronous and asynchronous communication between microservices?,"Synchronous communication, such as REST calls, waits for an immediate response, while asynchronous communication, such as message queues, decouples services and allows processing without blocking.",System Design,Hard
397,What is a password hash?,A password hash is a one-way transformation of a password used for storage and verification without keeping the plaintext password.,Security,Easy
398,What is phishing?,Phishing is a social engineering attack that tricks users into revealing sensitive information by impersonating a trustworthy source.,Security,Easy
399,What is HTTPS and why is it important?,"HTTPS encrypts data between client and server using TLS, protecting against eavesdropping and tampering.",Security,Medium
400,"What is a security token (e.g., JWT) used for?","A security token like a JWT encodes claims about a user's identity and permissions, allowing stateless authentication across requests.",Security,Medium
401,What is a zero-day vulnerability?,"A zero-day vulnerability is a security flaw unknown to the vendor and unpatched, making it especially dangerous until discovered and fixed.",Security,Hard
402,What is a build pipeline?,"A build pipeline automates the steps of compiling, testing, and packaging code for deployment.",DevOps,Easy
403,What is the purpose of a Dockerfile?,"A Dockerfile is a script containing instructions to build a Docker image, defining the environment and dependencies for an application.",DevOps,Medium
404,What is the difference between a rolling deployment and a blue-green deployment?,"A rolling deployment gradually replaces instances of the old version with the new one, while blue-green deployment switches traffic entirely from one environment to another.",DevOps,Hard
405,What is observability in the context of DevOps?,"Observability refers to the ability to understand a system's internal state through logs, metrics, and traces, enabling faster diagnosis of issues.",DevOps,Hard
